Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,147,4508.27,113.66,4621.93,371.42
Drive Thru,209,2997.78,13.13,3010.91,247.05
Take Out,40,710.83,13.97,724.8,58.55
Total,396,8216.88,140.76,8357.64,677.02
