Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2312.0,8216.88,140.76,0.0,8357.64,677.02
Total,2312.0,8216.88,140.76,0.0,8357.64,677.02
