Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,98,3342.88,105.21,3448.09,275.63
Drive Thru,111,1582.74,44.66,1627.4,130.55
Take Out,20,440.93,34.38,475.31,36.36
Total,229,5366.55,184.25,5550.80,442.54
