Hour of day,Net sales,Total orders,Total guests
15,176.39,6,13
20,133.02,5,7
14,208.87,10,12
19,571.09,12,32
8,267.77,23,27
7,128.06,13,13
10,462.95,19,28
6,63.59,6,6
13,368.86,17,28
12,501.93,20,34
9,363.4,25,29
16,142.27,7,9
18,774.7,20,42
17,407.81,13,24
11,795.84,33,77
