Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,98,3591.08,28.46,3619.54,295.85
Drive Thru,123,1821.53,1.12,1822.65,150.06
Take Out,20,311.22,11.01,322.23,25.65
Total,241,5723.83,40.59,5764.42,471.56
