Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2132.75,144,14.81,147,15.70,144,14.81,11.45
Table Service,3591.08,274,13.11,115,33.80,97,37.02,49.24
Total,5723.83,418,13.69,262,23.65,241,23.75,26.66
