Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,118,1831.68,7.57,0.0,1839.25,150.97
Lunch,110,1929.19,5.0,0.0,1934.19,158.86
Dinner,58,1905.3,2.3,0.0,1907.6,156.91
No Service,41,391.51,0.0,0.0,391.51,32.29
Total,327,6057.68,14.87,0.0,6072.55,499.03
