Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2602.08,215,12.10,215,13.10,215,12.10,10.50
Table Service,3455.6,264,13.09,147,25.44,112,30.85,42.56
Total,6057.68,479,12.65,362,18.11,327,18.53,21.48
