Hour of day,Net sales,Total orders,Total guests
20,110.64,3,3
17,187.4,8,11
6,12.14,2,2
16,150.45,6,10
15,136.66,7,7
12,603.18,28,43
13,205.33,9,12
8,259.69,21,26
19,416.98,8,22
14,58.81,4,6
7,101.28,11,12
18,187.57,7,14
10,408.07,19,38
11,723.12,30,50
9,464.59,28,33
