Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,45,878.9,8.24,887.14,72.42
Drive Thru,165,1571.11,0.0,1571.11,129.2
Take Out,47,426.32,4.31,430.63,35.09
Total,257,2876.33,12.55,2888.88,236.71
