Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2028.08,216,9.39,218,10.07,216,9.39,6.16
Table Service,848.25,68,12.47,43,21.35,41,20.69,38.03
Total,2876.33,284,10.13,261,11.93,257,11.19,11.24
