Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,159,5574.41,62.03,5636.44,459.41
Drive Thru,225,3386.08,27.11,3413.19,279.07
Take Out,33,613.01,0.0,613.01,50.58
Total,417,9573.50,89.14,9662.64,789.06
