Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,170,3588.05,61.59,0.0,3649.64,295.98
Lunch,157,3703.3,12.07,0.0,3715.37,305.05
Dinner,61,1796.5,5.48,0.0,1801.98,148.02
No Service,29,485.65,10.0,0.0,495.65,40.01
Total,417,9573.50,89.14,0.0,9662.64,789.06
