Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,4053.68,261,15.53,263,16.68,261,15.53,12.32
Table Service,5519.82,402,13.73,188,31.78,156,35.38,48.97
Total,9573.50,663,14.44,451,22.98,417,22.96,26.03
