Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2579.97,207,12.46,212,13.17,207,12.46,7.77
Table Service,2880.62,233,12.36,119,26.20,105,27.43,43.15
Total,5460.59,440,12.41,331,17.86,312,17.50,19.68
