Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1181.0,4476.14,49.92,0.0,4526.06,369.12
NA Beverage,428.0,928.03,0.34,0.0,928.37,76.16
Liquor,8.0,45.43,0.0,0.0,45.43,3.76
Draft Beer,1.0,10.99,0.0,0.0,10.99,0.91
Total,1618.0,5460.59,50.26,0.0,5510.85,449.95
