Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,107,2890.6,17.1,2907.7,238.07
Drive Thru,172,2204.93,3.21,2208.14,181.82
Take Out,33,365.06,29.95,395.01,30.06
Total,312,5460.59,50.26,5510.85,449.95
