Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1598.0,5343.3,50.26,0.0,5393.56,440.28
No Revenue Center,20.0,117.29,0.0,0.0,117.29,9.67
Total,1618.0,5460.59,50.26,0.0,5510.85,449.95
