Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,961.0,3213.53,8.35,0.0,3221.88,264.76
Drive Thru,498.0,1504.77,0.0,0.0,1504.77,123.93
Total,1459.0,4718.30,8.35,0.0,4726.65,388.69
