Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3108.67,265,11.73,270,12.46,265,11.73,4.35
Table Service,1609.63,124,12.98,71,24.54,62,25.96,38.86
Total,4718.30,389,12.13,341,14.98,327,14.43,10.90
