Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,67,1632.99,7.15,1640.14,134.63
Drive Thru,197,2151.08,0.0,2151.08,177.07
Take Out,63,934.23,1.2,935.43,76.99
Total,327,4718.30,8.35,4726.65,388.69
