Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3005.74,220,13.66,221,14.72,220,13.66,6.06
Table Service,2051.29,156,13.15,76,29.22,73,28.10,38.35
Total,5057.03,376,13.45,297,18.43,293,17.26,14.11
