Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,126,1937.62,16.33,0.0,1953.95,159.63
Lunch,124,2385.81,5.59,0.0,2391.4,196.58
Dinner,22,517.63,0.0,0.0,517.63,42.66
No Service,21,215.97,0.0,0.0,215.97,17.79
Total,293,5057.03,21.92,0.0,5078.95,416.66
