Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,77,2111.45,12.5,2123.95,174.1
Drive Thru,180,2315.03,5.59,2320.62,190.56
Take Out,36,630.55,3.83,634.38,52.0
Total,293,5057.03,21.92,5078.95,416.66
