Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1895.01,182,10.41,183,11.21,182,10.41,3.85
Table Service,1023.9,95,10.78,55,20.15,50,20.48,29.04
Total,2918.91,277,10.54,238,13.27,232,12.58,9.28
