Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,78,828.84,0.0,0.0,828.84,68.19
Lunch,86,1418.53,3.6,0.0,1422.13,116.91
Dinner,26,391.23,4.79,0.0,396.02,32.22
No Service,38,340.99,4.06,0.0,345.05,28.13
Total,228,2979.59,12.45,0.0,2992.04,245.45
