Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,45,1082.76,8.85,1091.61,89.26
Drive Thru,151,1502.33,0.0,1502.33,123.68
Take Out,32,394.5,3.6,398.1,32.51
Total,228,2979.59,12.45,2992.04,245.45
