Hour of day,Net sales,Total orders,Total guests
12,768.45,42,52
14,147.53,12,12
11,614.67,40,47
9,634.25,37,48
8,422.67,24,28
13,652.34,29,46
7,37.91,2,3
10,430.17,31,38
