Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,112,2919.18,107.36,3026.54,240.43
Drive Thru,162,1850.12,5.31,1855.43,152.5
Take Out,26,365.75,2.6,368.35,30.17
Total,300,5135.05,115.27,5250.32,423.10
