Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1497.0,5135.05,115.27,0.0,5250.32,423.1
Total,1497.0,5135.05,115.27,0.0,5250.32,423.1
