Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1629.0,6708.41,137.69,0.0,6846.1,553.44
NA Beverage,443.0,1191.38,4.25,0.0,1195.63,98.35
Liquor,29.0,296.74,0.0,0.0,296.74,24.4
Draft Beer,4.0,16.76,0.0,0.0,16.76,1.38
Total,2105.0,8213.29,141.94,0.0,8355.23,677.57
