Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,10.0,19.66,1.65,0.0,21.31,1.62
Dining Room,1276.0,5663.08,109.73,0.0,5772.81,467.11
Drive Thru,800.0,2456.04,30.56,0.0,2486.6,202.68
No Revenue Center,19.0,74.51,0.0,0.0,74.51,6.16
Total,2105.0,8213.29,141.94,0.0,8355.23,677.57
