Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,131,4807.75,106.23,4913.98,396.51
Drive Thru,163,2682.46,30.56,2713.02,221.37
Take Out,36,723.08,5.15,728.23,59.69
Total,330,8213.29,141.94,8355.23,677.57
