Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,40,723.85,1.0,724.85,59.62
Drive Thru,150,1616.12,0.0,1616.12,133.01
Take Out,37,445.64,0.0,445.64,36.74
Total,227,2785.61,1.0,2786.61,229.37
