Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,708.0,2375.41,1.0,0.0,2376.41,195.59
NA Beverage,158.0,410.2,0.0,0.0,410.2,33.78
Total,866.0,2785.61,1.0,0.0,2786.61,229.37
