Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,84,1023.39,0.0,0.0,1023.39,84.33
Lunch,61,883.64,1.0,0.0,884.64,72.75
Dinner,22,253.85,0.0,0.0,253.85,20.91
No Service,60,624.73,0.0,0.0,624.73,51.38
Total,227,2785.61,1.0,0.0,2786.61,229.37
