Hour of day,Net sales,Total orders,Total guests
6,211.57,23,23
19,38.55,4,4
17,69.68,5,6
8,323.1,34,36
10,296.79,22,26
18,73.73,6,6
11,342.58,27,29
13,185.42,12,15
15,94.94,5,5
14,80.5,5,6
12,180.2,12,14
16,71.89,7,7
7,413.16,37,37
9,403.5,28,32
