Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,504.0,1689.06,1.0,0.0,1690.06,139.09
Drive Thru,362.0,1096.55,0.0,0.0,1096.55,90.28
Total,866.0,2785.61,1.0,0.0,2786.61,229.37
