Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2205.09,200,11.03,205,11.64,200,11.03,4.34
Table Service,1112.17,90,12.36,57,21.12,50,22.24,35.75
Total,3317.26,290,11.44,262,13.70,250,13.27,10.62
