Hour of day,Net sales,Total orders,Total guests
6,37.97,4,4
7,94.07,8,9
8,312.05,19,23
9,348.19,23,34
10,517.98,28,39
11,574.59,24,36
12,501.58,20,30
13,333.49,11,18
14,80.72,5,5
15,91.02,6,6
16,266.27,6,11
17,232.08,10,13
18,137.54,8,9
19,126.77,5,7
20,33.35,1,1
