Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,641.0,3080.21,42.73,0,3122.94,254.08
NA Beverage,195.0,538.43,0.4,0,538.83,44.4
Liquor,7.0,56.96,0.0,0,56.96,4.69
Draft Beer,3.0,12.07,0.0,0,12.07,0.99
Total,846.0,3687.67,43.13,0,3730.80,304.16
