Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,58,1785.7,20.95,1806.65,147.25
Drive Thru,107,1369.46,5.28,1374.74,113.03
Take Out,13,190.39,1.1,191.49,15.74
Total,178,3345.55,27.33,3372.88,276.02
