Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,110,3958.04,105.38,4063.42,326.58
Drive Thru,169,2699.73,45.83,2745.56,222.72
Take Out,34,718.18,0.0,718.18,59.26
Total,313,7375.95,151.21,7527.16,608.56
