Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,4.0,32.52,0.0,0.0,32.52,2.68
Dining Room,1110.0,4761.53,105.38,0.0,4866.91,392.89
Drive Thru,786.0,2556.56,45.83,0.0,2602.39,210.9
No Revenue Center,6.0,25.34,0.0,0.0,25.34,2.09
Total,1906.0,7375.95,151.21,0.0,7527.16,608.56
