Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,130,4727.58,82.93,4810.51,389.68
Drive Thru,160,2542.45,8.37,2550.82,209.7
Take Out,21,350.37,0.0,350.37,28.86
Total,311,7620.40,91.30,7711.70,628.24
