Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,120,1581.7,0.0,0.0,1581.7,130.3
Lunch,101,1435.57,3.3,0.0,1438.87,118.24
Dinner,30,485.83,2.3,0.0,488.13,40.04
No Service,55,508.52,0.0,0.0,508.52,41.9
Total,306,4011.62,5.6,0.0,4017.22,330.48
