Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,48,956.78,0.0,956.78,78.94
Drive Thru,217,2472.67,2.3,2474.97,203.62
Take Out,41,582.17,3.3,585.47,47.92
Total,306,4011.62,5.6,4017.22,330.48
