Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,123,3228.91,51.24,3280.15,265.91
Drive Thru,179,2095.98,28.04,2124.02,172.81
Take Out,22,356.33,0.0,356.33,29.37
Total,324,5681.22,79.28,5760.50,468.09
