Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2492.66,206,12.10,207,13.03,206,12.10,8.74
Table Service,3188.56,250,12.75,128,26.96,118,27.02,38.27
Total,5681.22,456,12.46,335,18.36,324,17.53,19.50
