Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1600.0,5681.22,79.28,0.0,5760.5,468.09
Total,1600.0,5681.22,79.28,0.0,5760.5,468.09
