Tax rate,Tax amount,Taxable amount
Tax,284.15,3451.21
TX SPECIAL TAX,0.07,9.99
TX CITY TAX,0.12,9.99
TX STATE TAX,0.62,9.99
Non Taxable,0.0,0.0
