Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2973.0,10637.29,43.43,0.0,10680.72,876.58
Total,2973.0,10637.29,43.43,0.0,10680.72,876.58
