Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,179,6375.25,35.23,6410.48,525.37
Drive Thru,228,3573.96,8.2,3582.16,294.51
Take Out,36,688.08,0.0,688.08,56.7
Total,443,10637.29,43.43,10680.72,876.58
