Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,4318.74,266,16.24,266,17.57,266,16.24,12.94
Table Service,6318.55,472,13.39,198,34.54,177,35.70,42.05
Total,10637.29,738,14.41,464,24.81,443,24.01,24.57
