Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,11.0,45.85,0.0,0,45.85,3.79
Dining Room,924.0,4480.45,31.0,0,4511.45,369.46
Drive Thru,433.0,1452.41,15.2,0,1467.61,119.8
No Revenue Center,23.0,92.48,78.0,0,170.48,7.63
Total,1391.0,6071.19,124.2,0,6195.39,500.68
