Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2295.57,160,14.35,157,15.83,160,14.35,10.28
Table Service,3775.62,249,15.16,106,38.56,98,38.53,45.32
Total,6071.19,409,14.84,263,24.99,258,23.53,23.59
