Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,46,826.82,10.0,0.0,63.0,0,0,10.00,836.82,1.3
Credit/debit,,217,5745.05,569.88,140.14,437.68,0,0,569.88,6455.07,13.3
Credit/debit,AMEX,7,197.78,44.7,0.0,15.1,0,0,44.70,242.48,24.5
Credit/debit,DISCOVER,2,23.26,0.0,0.0,1.78,0,0,0.00,23.26,0.0
Credit/debit,MASTERCARD,83,2374.08,206.53,67.58,180.91,0,0,206.53,2648.19,12.4
Credit/debit,VISA,125,3149.93,318.65,72.56,239.89,0,0,318.65,3541.14,13.4
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,263,6571.87,579.88,140.14,500.68,0.0,0.0,579.88,7291.89,11.8
