Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1037.0,4716.91,110.87,0,4827.78,389.0
NA Beverage,291.0,818.42,8.02,0,826.44,67.5
Liquor,49.0,477.2,5.31,0,482.51,39.35
Draft Beer,14.0,58.66,0.0,0,58.66,4.83
Total,1391.0,6071.19,124.20,0,6195.39,500.68
