Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1415.0,5936.39,90.33,0.0,6026.72,489.65
NA Beverage,405.0,1132.76,4.9,0.0,1137.66,93.48
Liquor,6.0,59.95,0.0,0.0,59.95,4.93
Draft Beer,3.0,13.07,0.0,0.0,13.07,1.08
Total,1829.0,7142.17,95.23,0.0,7237.40,589.14
