Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,103,4195.03,51.04,4246.07,346.08
Drive Thru,132,2348.25,24.22,2372.47,193.67
Take Out,32,598.89,19.97,618.86,49.39
Total,267,7142.17,95.23,7237.40,589.14
