Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1175.0,4879.57,71.01,0.0,4950.58,402.52
Drive Thru,651.0,2239.63,24.22,0.0,2263.85,184.72
No Revenue Center,3.0,22.97,0.0,0.0,22.97,1.9
Total,1829.0,7142.17,95.23,0.0,7237.40,589.14
