Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,82,1125.13,0.0,12.16,85.65,0.0,0.0,0.00,1137.29,1.2
Credit/debit,,242,4323.57,384.25,45.81,328.98,0.0,0.0,384.25,4753.63,10.8
Credit/debit,AMEX,10,250.34,49.18,10.15,19.03,0.0,0.0,49.18,309.67,25.6
Credit/debit,DISCOVER,3,52.37,5.0,0.0,4.0,0.0,0.0,5.00,57.37,10.3
Credit/debit,MASTERCARD,89,1688.61,130.14,23.18,128.51,0.0,0.0,130.14,1841.93,9.8
Credit/debit,VISA,140,2332.25,199.93,12.48,177.44,0.0,0.0,199.93,2544.66,9.9
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,324,5448.70,384.25,57.97,414.63,0.0,0.0,384.25,5890.92,8.8
