Discount,Count,Orders,Amount
Birthday Rewards,1,1,5.0
Employee Discount - Check,2,2,40.55
Open $ Check,1,1,1.0
Open % Check,4,4,8.37
Reward Dollars,2,2,21.65
Total,10,10,76.57
