Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,3.0,5.37,0.0,0,5.37,0.44
Dining Room,537.0,2658.31,48.66,0,2706.97,219.15
Drive Thru,280.0,979.07,20.29,0,999.36,80.82
No Revenue Center,41.0,196.4,11.99,0,208.39,16.2
Total,861.0,3839.15,80.94,0,3920.09,316.61
